SYSTEM,CET,BENCH0,BENCH1,BENCH2,BENCH3,BENCH4,BENCH5
SPR,1,1439878,67570,7547629,777332,1113984,5623110
TGL,1,1232606,59433,5571248,667806,867450,4673319
SPR,1,1437901,67419,7511079,780331,1017911,5548793
TGL,1,1299664,58777,5615524,658595,823177,4697880
SPR,1,1435191,67450,7574131,885805,1008973,5659670
TGL,1,1234494,58861,5596141,664295,884650,4638948
SPR,1,1443199,67177,7499380,780469,1022685,5628748
TGL,1,1238039,59375,5548853,665929,878854,4659205
SPR,1,1429870,66053,7559450,880991,1020682,5542681
TGL,1,1235423,59218,5548555,666661,832274,4649922
SPR,1,1431407,67284,7549049,788087,1129194,5561240
TGL,1,1233919,59725,5550167,676257,829818,4661783
SPR,1,1445310,67792,7541564,781801,1011175,5516600
TGL,1,1216276,57625,5563686,665031,826418,4609713
SPR,1,1443205,65975,7548676,890635,1013728,5544012
TGL,1,1235418,59077,5621912,668254,883485,4687511
SPR,1,1451025,66749,7551986,872339,1099704,5573795
TGL,1,1233163,59525,5563596,672580,831008,4618547
SPR,1,1432359,66972,7516894,864071,1005059,5544734
TGL,1,1237855,59047,5633676,756788,821930,4661330
SPR,1,1429171,66575,7509372,860200,1007525,5539536
TGL,1,1322846,58236,5552175,713142,813330,4665643
SPR,1,1433586,64379,7553703,885299,1007932,5513603
TGL,1,1271279,59681,5521698,722399,827315,4636036
SPR,1,1436184,67469,7495343,775639,1034538,5598936
TGL,1,1329018,57276,5552977,658701,810135,4651983
SPR,1,1439093,67393,7555403,786659,1122036,5581577
TGL,1,1277672,58866,5508524,672415,837191,4599689
SPR,1,1439535,64346,7551061,779071,1100155,5639021
TGL,1,1305946,58885,5562222,666388,818241,4608255
SPR,1,1548495,80211,7496800,780440,1010492,5631383
TGL,1,1274865,59145,5536203,664916,823493,4613916
SPR,1,1444544,66820,7485726,779982,1009226,5550583
TGL,1,1265429,59508,5501680,665367,815600,4752439
SPR,1,1532358,66406,7460554,802895,1122613,5647645
TGL,1,1235293,58922,5523549,664361,893980,4595374
SPR,1,1497419,67580,7401501,786124,1023969,5528993
TGL,1,1233507,60125,5532773,663290,889571,4652021
SPR,1,1487224,66684,7501340,794658,1009101,5638208
TGL,1,1226684,58942,5540116,670045,883768,4598399
SPR,1,1457698,79312,7481172,788460,1098071,5647319
TGL,1,1224609,58067,5539115,671782,906362,4755495
SPR,1,1549422,67066,7546812,825112,1140549,5558227
TGL,1,1235896,57785,5510212,662061,835742,4649587
SPR,1,1482379,66463,7475204,792237,1105762,5548562
TGL,1,1228016,62811,5751904,661139,823439,4664101
SPR,1,1528470,67919,7481727,794270,1058840,5631902
TGL,1,1233859,58142,5603280,664668,836859,4637387
SPR,1,1464639,66341,7483232,787464,1018007,5432274
TGL,1,1240475,60271,5618609,677238,827656,4627405
SPR,1,1490289,68103,7335635,783998,1050006,5634162
TGL,1,1237241,60804,5648641,734781,861232,4652150
SPR,1,1488011,67748,7477852,789281,1010961,5605362
TGL,1,1348358,57409,5576787,712545,814761,4790646
SPR,1,1458020,66961,7480512,785238,1017631,5535718
TGL,1,1290122,59393,5525716,669018,813410,4633432
SPR,1,1520945,67313,7453494,818240,1111556,5480237
TGL,1,1274736,59048,5546753,658689,821173,4763780
